state_name,wisqars_rate_firearm_accident,wisqars_rate_firearm_intentional
Alabama,0.5904347826086956,18.39695652173913
Arizona,0.23636363636363636,15.696363636363635
Arkansas,0.524,16.3045
California,0.11956521739130434,8.40913043478261
Colorado,0.212,13.278
Florida,0.11173913043478262,12.386521739130435
Georgia,0.24565217391304348,14.162608695652175
Illinois,0.137,9.7865
Indiana,0.26565217391304347,12.775652173913043
Kansas,0.38,12.232
Kentucky,0.5013636363636363,14.519545454545455
Louisiana,0.6269565217391304,20.07521739130435
Maryland,0.195,11.315
Michigan,0.12571428571428572,11.29
Mississippi,0.6861904761904761,19.04809523809524
Missouri,0.31695652173913047,16.046521739130434
National,0.18782608695652173,11.117391304347827
New Jersey,0.17200000000000001,4.906
New Mexico,0.73,15.085
New York,0.08727272727272728,5.04
North Carolina,0.3160869565217391,13.034347826086956
Ohio,0.1519047619047619,11.303809523809525
Oklahoma,0.38571428571428573,14.807142857142857
Oregon,0.4,10.114999999999998
Pennsylvania,0.18391304347826087,11.358695652173912
South Carolina,0.4082608695652174,15.779130434782608
Tennessee,0.3926086956521739,16.258260869565216
Texas,0.19869565217391305,11.461304347826086
Virginia,0.15833333333333333,11.15611111111111
Washington,0.17,8.876666666666667
West Virginia,0.7481818181818182,13.876363636363637
Wisconsin,0.21666666666666667,8.83
